127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002040
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001157
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001333
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002236
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000621
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/js/ajax_editor.js, HTTP/1.1, 200, 0.000376
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001626
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002285
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000953
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001609
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001706
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/js/typeahead.min.js, HTTP/1.1, 200, 0.000293
127.0.0.1, 2014-06-04 16:46:33, GET, /admin/static/_2.9.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000427
127.0.0.1, 2014-06-04 16:46:34, GET, /admin/static/_2.9.5/images/files_toggle.png, HTTP/1.1, 200, 0.000989
127.0.0.1, 2014-06-04 16:46:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2014-06-04 16:46:34, GET, /admin/default/edit/socialstore/models/db.py, HTTP/1.1, 200, 0.115915
127.0.0.1, 2014-06-04 16:46:34, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000301
127.0.0.1, 2014-06-04 16:46:34, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.133584
127.0.0.1, 2014-06-04 16:46:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.191321
127.0.0.1, 2014-06-04 16:46:34, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.213508
127.0.0.1, 2014-06-04 16:46:34, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.369901
127.0.0.1, 2014-06-04 16:47:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.023628
127.0.0.1, 2014-06-04 16:48:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.024394
127.0.0.1, 2014-06-04 16:49:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.032445
127.0.0.1, 2014-06-04 16:50:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.025755
127.0.0.1, 2014-06-04 16:51:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.024333
127.0.0.1, 2014-06-04 16:52:34, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.034779
127.0.0.1, 2014-06-04 16:53:02, GET, /, HTTP/1.1, 303, 0.001095
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.064041
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000903
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001492
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000262
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000331
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004078
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000293
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000242
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.006832
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004922
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000340
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001011
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000651
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000624
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000491
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001236
127.0.0.1, 2014-06-04 16:53:02, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000323
127.0.0.1, 2014-06-04 16:53:04, GET, /admin/default/index, HTTP/1.1, 200, 0.102744
127.0.0.1, 2014-06-04 16:53:05, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.000295
127.0.0.1, 2014-06-04 16:53:05, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001366
